id,city,title,time,category,latitude,longitude,price,price_per_meter,meterage,floor,all_floors,build_date,rooms,elevator,parking,warehouse,jahat,vahed,sanad,status,image,description
3,زنجان, نانوایان فازسه /۱۲۰متر/ واحد دونبش, ۲ ساعت پیش در زنجان, فروش خانه و ویلا, 36.68839, 48.46687, ۱۱۱٬۱۱۱٬۱۱۱ تومان, ۶۹۴٬۰۰۰ تومان, ۱۲۰, '', '', ۱۴۰۲, ۲, 0, 1, 1, '', '', '', '', https://s100.divarcdn.com/static/photo/afra/post/UBtz99PsUtVTAx-IT4h6zw/be43fed1-8906-4429-856c-6b146dcf6fe4.jpg, طبقه وسط\nورودی مجزا \nکف سرامیک \nکناف کاری شده \nدودانگ وکالت بلاعزل \n\nمسکن غلامی واقع در خیابان عاصم زنجانی
4,زنجان, کوی صدرا/ ۱۶۶متر/ سه طبقه, ۳ ساعت پیش در زنجان, فروش خانه و ویلا, 36.688282, 48.456287, ۸٬۰۰۰٬۰۰۰٬۰۰۰ تومان, ۴۸٬۱۹۲٬۰۰۰ تومان, ۳۶۰, '', '', ۱۳۹۶, ۴, 1, 1, 1, '', '', '', '', https://s100.divarcdn.com/static/photo/afra/post/R7P-HMBYbfBYxuzW_ulC0g/80ce7320-82a3-4bc7-b42b-72c62b452eba.jpg, زمین ۱۶۶متر \nبنا ۳۶۰متر \nفروش بصورت تکی وکلی \nهمکف خشک \nطبقه اول ودوم تجهیز شده \n\nمسکن غلامی واقع در خیابان عاصم زنجانی
5,زنجان, مجتمع ارغوان گلشهر, ۳ ساعت پیش در زنجان, فروش آپارتمان, 36.670750796111, 48.561796178973, ۱٬۸۰۰٬۰۰۰٬۰۰۰ تومان, ۲۵٬۷۱۴٬۰۰۰ تومان, ۷۰, ' ', '', ۱۳۹۴, ۲, 1, 1, 0, '', '', '', بازسازی نشده, https://s100.divarcdn.com/static/photo/afra/post/0_g7oiyKAc1ih3x8Yh-Cyw/d0ff8112-3033-4e60-9784-6edd382619aa.jpg, ♦️گلشهر دور میدان امام حسین(ع)\n♦️هر دو اتاق ق خواب نورگیر عالی و ویو ابدی\n♦️پارکینگ محوطه (مکان مشخص و شماره گذاری شده)\n♦️تازه کاغذدیواری شده ، گرمایش پکیج، کف موکت\n♦️مج  جتمع مجهز به دوربین مداربسته و نگهبانی ۲۴ ساعته \n♦️سند آزاد \n♦️دسترسی آسان به مراکز خرید و حمل و نقل عمومی
